fdc_id,brand_owner,ingredients,serving_size,serving_size_unit,branded_food_category,data_type,description,publication_date,cat_null,sat_fat_g,trans_fat_g,magnesium_mg,potassium_mg,mufa_grams,protein_grams,fiber_grams,vitamin_a_IU,vitamin_c_MG,calcium_MG,iron_MG,sugar_G,sodium_MG,NRFNn.3,cluster
353424,Mondelez Int. US (0074819091009),TRIDENT GUM ORIGINAL SUGAR FREE1X8 PK,1.9,g,,branded_food,TRIDENT GUM ORIGINAL SUGAR FREE1X8 PK,2019-04-01,True,,,,,,0.0,,,,,,0.0,0.0,,215
353425,Mondelez Int. US (0074819091009),NABISCO NUTTER BUTTER COOKIES 1X,25.0,g,,branded_food,NABISCO NUTTER BUTTER COOKIES 1X,2019-04-01,True,0.4,0.0,,0.04,,0.16,0.0,,0.0,0.027999999999999997,0.18000000000000002,0.256,0.15,,97
353426,Mondelez Int. US (0074819091009),NABISCO HONEY MAID CRACKERS HONEY 1X12.000 OZ,31.0,g,,branded_food,NABISCO HONEY MAID CRACKERS HONEY 1X12.000 OZ,2019-04-01,True,0.0,0.0,,0.050571428571428566,,0.129,0.26,,0.0,0.017,0.20277777777777775,0.20648000000000002,0.1075,,985
353427,Beaver Street Fisheries Inc.,51/70 CKD P&D T/ON SHRIMP,112.0,g,,branded_food,51/70 CKD P&D T/ON SHRIMP,2019-04-01,True,0.0225,0.0,,0.0,0.0,0.3572,0.0,0.0,0.06000000000000001,0.054000000000000006,0.1338888888888889,0.0,0.059583333333333335,,535
353428,QTG,Gamesa Sabrosas Cookies 3.45 Ounce Bag,14.0,g,,branded_food,Gamesa Sabrosas Cookies 3.45 Ounce Bag,2019-04-01,True,0.5355000000000001,0.0,,,,0.14279999999999998,0.284,0.0,0.0,0.0,0.14277777777777778,0.057120000000000004,0.44625,,997
353429,Beaver Street Fisheries Inc.,SEAFOOD STUFFED CRAB,85.0,g,,branded_food,SEAFOOD STUFFED CRAB,2019-04-01,True,0.059000000000000004,0.0,,0.0,0.0,0.1176,0.048,0.0094,0.17666666666666667,0.059000000000000004,0.048888888888888885,0.02824,0.2841666666666667,,243
353430,Frito Lay,Rold Gold Braided Honey Wheat Pretzels 2.0 Ounce Plastic Bag,28.0,g,,branded_food,Rold Gold Braided Honey Wheat Pretzels 2.0 Ounce Plastic Bag,2019-04-01,True,0.0,0.0,,0.040857142857142856,,0.14279999999999998,0.14400000000000002,,,0.036000000000000004,0.21833333333333332,0.14288,0.3275,,269
353431,"BEAVER STREET FISHERIES, INC.",PAST. LUMP CRABMEAT,85.0,g,,branded_food,PAST. LUMP CRABMEAT,2019-04-01,True,0.0,0.0,,0.07314285714285715,0.0,0.4706,0.0,0.0,0.0,0.11800000000000001,0.09777777777777777,0.0,0.15666666666666668,,544
353432,Beaver Street Fisheries Inc.,SEA BASS WGS 350/500 GR,112.0,g,,branded_food,SEA BASS WGS 350/500 GR,2019-04-01,True,0.0,0.0,,0.07314285714285715,0.0,0.375,0.0,0.0,0.0,0.0,0.01611111111111111,0.0,0.09291666666666666,,437
353433,Frito Lay,Lays Cheezy Garlic 1.875z,53.1,g,,branded_food,Lays Cheezy Garlic 1.875z,2019-04-01,True,0.28250000000000003,0.0,0.1125,0.3282857142857143,,0.113,0.152,0.0,0.2816666666666666,0.038,0.11277777777777775,0.030160000000000003,0.19625,,736
